Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PICCADILLY GRAND,"2,278,000","1,076.4","2,116",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,780",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,256,000","1,097.93","2,055",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,118",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,416,000",645.84,"2,192",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"23,600",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,286,000","1,076.4","2,124",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,860",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,264,000","1,097.93","2,062",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,196",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,423,000",645.84,"2,203",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"23,717",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,294,000","1,076.4","2,131",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,940",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,272,000","1,097.93","2,069",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,275",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,302,000","1,076.4","2,139",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,020",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,280,000","1,097.93","2,077",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,353",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,575,000",710.42,"2,217",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,864",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,310,000","1,076.4","2,146",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,100",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,288,000","1,097.93","2,084",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,431",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,582,000",710.42,"2,227",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,970",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,318,000","1,076.4","2,153",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,180",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,296,000","1,097.93","2,091",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,510",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,466,000",645.84,"2,270",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,433",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
